wsk_plynnosci,wsk_rentownosci,rs,p,istotnosc,sila,kierunek
CR,ROS,-0.7714,0.0724,nieistotna,silna,ujemna
CR,ROA,-0.7714,0.0724,nieistotna,silna,ujemna
CR,ROE,-0.7714,0.0724,nieistotna,silna,ujemna
QR,ROS,-0.4286,0.3965,nieistotna,umiarkowana,ujemna
QR,ROA,-0.4286,0.3965,nieistotna,umiarkowana,ujemna
QR,ROE,-0.4286,0.3965,nieistotna,umiarkowana,ujemna
ChR,ROS,-0.2571,0.6228,nieistotna,słaba,ujemna
ChR,ROA,-0.2571,0.6228,nieistotna,słaba,ujemna
ChR,ROE,-0.2571,0.6228,nieistotna,słaba,ujemna
