rok,Dino,LPP,CCC
2019,0.608,1.168,0.992
2020,0.729,1.135,0.915
2021,0.661,1.033,1.397
2022,0.733,1.068,0.926
2023,0.839,1.031,0.808
2024,0.825,0.903,1.16
