rok,Dino,LPP,CCC
2019,0.211,0.426,0.183
2020,0.231,0.306,0.137
2021,0.139,0.197,0.32
2022,0.104,0.089,0.106
2023,0.056,0.19,0.06
2024,0.166,0.1,0.114
