rok,Dino,LPP,CCC
2019,0.094,0.044,-0.004
2020,0.116,-0.018,-0.193
2021,0.112,0.067,-0.026
2022,0.126,0.038,-0.063
2023,0.135,0.117,-0.017
2024,0.115,0.1,0.113
