rok,Dino,LPP,CCC
2019,0.054,0.043,-0.005
2020,0.064,-0.024,-0.227
2021,0.06,0.068,-0.025
2022,0.057,0.03,-0.049
2023,0.055,0.093,-0.013
2024,0.051,0.087,0.099
