wsk_plynnosci,wsk_rentownosci,rs,p,istotnosc,sila,kierunek
CR,ROS,0.3714,0.4685,nieistotna,słaba,dodatnia
CR,ROA,0.3714,0.4685,nieistotna,słaba,dodatnia
CR,ROE,0.3714,0.4685,nieistotna,słaba,dodatnia
QR,ROS,0.2571,0.6228,nieistotna,słaba,dodatnia
QR,ROA,0.2571,0.6228,nieistotna,słaba,dodatnia
QR,ROE,0.2571,0.6228,nieistotna,słaba,dodatnia
ChR,ROS,-0.0286,0.9572,nieistotna,brak lub znikoma,ujemna
ChR,ROA,-0.0286,0.9572,nieistotna,brak lub znikoma,ujemna
ChR,ROE,-0.0286,0.9572,nieistotna,brak lub znikoma,ujemna
