rok,Dino,LPP,CCC
2019,0.253,0.13,-0.025
2020,0.284,-0.062,-4.133
2021,0.262,0.291,-0.167
2022,0.269,0.122,-0.762
2023,0.251,0.342,-0.131
2024,0.212,0.329,0.529
